|appid|game|developer|publisher|positive|negative|average_forever|average_2weeks|median_forever|median_2weeks|ccu|genre|tags
10|1599340|Lost Ark|Smilegate RPG|Amazon Games|128068|45352|3768|2388|843|2314|160429|Action, Adventure, Free to Play, Massively Multiplayer, RPG|"{""MMORPG"":246,""Free to Play"":218,""Action RPG"":194,""RPG"":178,""Multiplayer"":170,""Hack and Slash"":163,""Action"":158,""Massively Multiplayer"":147,""Adventure"":138,""PvP"":132,""Fantasy"":129,""Character Customization"":127,""PvE"":126,""Isometric"":98,""Sexual Content"":94,""Class-Based"":86,""Online Co-Op"":80,""Violent"":72,""Gore"":63,""Singleplayer"":51}"
11|4000|Garry's Mod|Facepunch Studios|Valve|854384|29822|10876|348|1467|109|27394|Indie, Simulation|"{""Sandbox"":17592,""Multiplayer"":13702,""Funny"":12228,""Moddable"":9835,""Building"":9592,""Comedy"":8282,""Mod"":8211,""Co-op"":8160,""First-Person"":7919,""Physics"":6847,""Simulation"":6641,""Online Co-Op"":6465,""FPS"":6118,""Singleplayer"":6047,""Action"":5503,""Animation & Modeling"":5330,""Shooter"":5329,""Indie"":4969,""Adventure"":4645,""Massively Multiplayer"":4642}"
12|291550|Brawlhalla|Blue Mammoth Games|Ubisoft|252764|48304|2791|183|187|88|12496|Action, Free to Play, Indie|"{""Free to Play"":3862,""Multiplayer"":2776,""Fighting"":2633,""Casual"":1996,""2D Fighter"":1951,""2D Platformer"":1924,""Fantasy"":1875,""Action"":1866,""Local Multiplayer"":1861,""Family Friendly"":1855,""Platformer"":1849,""Co-op"":1849,""Controller"":1847,""Online Co-Op"":1839,""e-sports"":1837,""Cartoony"":1831,""Local Co-Op"":1830,""4 Player Local"":1822,""Singleplayer"":1808,""Indie"":1805}"
13|236390|War Thunder|Gaijin Entertainment|Gaijin Distribution KFT|263252|72375|6284|775|366|285|49920|Action, Free to Play, Massively Multiplayer, Simulation|"{""Free to Play"":6464,""Vehicular Combat"":4686,""Combat"":4390,""VR"":3704,""World War II"":3589,""Flight"":3422,""War"":3406,""Naval Combat"":3403,""Military"":3394,""Modern"":3383,""Tanks"":3383,""Third-Person Shooter"":3382,""Simulation"":3376,""Third Person"":3371,""Cold War"":3368,""Shooter"":3358,""Realistic"":3356,""Massively Multiplayer"":3355,""Historical"":3349,""Action"":3349}"
14|1245620|ELDEN RING|FromSoftware Inc.|FromSoftware Inc., Bandai Namco Entertainment|485286|52042|5586|259|4791|97|21979|Action, RPG|"{""Souls-like"":4877,""Relaxing"":4541,""Dark Fantasy"":3632,""RPG"":3316,""Difficult"":3155,""Open World"":3069,""Action RPG"":2651,""Third Person"":2569,""Fantasy"":2410,""Multiplayer"":2321,""Online Co-Op"":2266,""Singleplayer"":2263,""Action"":2182,""PvP"":1908,""Co-op"":1904,""Violent"":1779,""Atmospheric"":1701,""Great Soundtrack"":1663,""3D"":1620,""Walking Simulator"":1408}"
15|359550|Tom Clancy's Rainbow Six Siege|Ubisoft Montreal|Ubisoft|940782|142495|13893|361|2987|181|34108|Action|"{""FPS"":9294,""Hero Shooter"":8692,""Multiplayer"":7189,""Tactical"":6521,""Shooter"":6219,""Team-Based"":5361,""Action"":4700,""First-Person"":4616,""Competitive"":3791,""Co-op"":3659,""Strategy"":3600,""Realistic"":3158,""Online Co-Op"":3036,""Destruction"":2887,""Physics"":1734,""Atmospheric"":1504,""Singleplayer"":1421,""Massively Multiplayer"":1344,""Casual"":1123,""Simulation"":1027}"
16|945360|Among Us|Innersloth|Innersloth|584566|52220|1230|209|667|68|4957|Casual|"{""Multiplayer"":1595,""Online Co-Op"":1124,""Social Deduction"":1114,""Space"":1092,""Survival"":881,""2D"":869,""Funny"":839,""Psychological"":750,""Co-op"":720,""Party Game"":693,""Cartoony"":666,""Local Multiplayer"":648,""Casual"":618,""Action"":598,""PvP"":588,""Minigames"":586,""Sci-fi"":584,""Colorful"":582,""Aliens"":577,""Top-Down"":576}"
17|340|Half-Life 2: Lost Coast|Valve|Valve|9514|1273|55|0|20|0|16|Action|"{""FPS"":1024,""Action"":359,""Singleplayer"":309,""First-Person"":250,""Sci-fi"":245,""Shooter"":221,""Short"":218,""Aliens"":119,""Dystopian "":112,""Classic"":109,""Adventure"":104,""Atmospheric"":91,""Benchmark"":91,""Futuristic"":88,""Silent Protagonist"":84,""Free to Play"":57,""Multiplayer"":39,""Post-apocalyptic"":39,""Story Rich"":38,""Great Soundtrack"":34}"
18|238960|Path of Exile|Grinding Gear Games|Grinding Gear Games|167637|24730|9206|734|282|127|15061|Action, Adventure, Free to Play, Indie, Massively Multiplayer, RPG|"{""Free to Play"":16862,""Action RPG"":3358,""Hack and Slash"":3045,""RPG"":2745,""Multiplayer"":2666,""Loot"":2085,""Massively Multiplayer"":2021,""Dungeon Crawler"":2017,""Character Customization"":1941,""Inventory Management"":1906,""MMORPG"":1572,""Action"":1354,""Fantasy"":1269,""Adventure"":1185,""Isometric"":1163,""Singleplayer"":1132,""Online Co-Op"":1119,""PvP"":936,""Horror"":927,""Point & Click"":904}"
19|892970|Valheim|Iron Gate AB|Coffee Stain Publishing|344159|17488|2742|354|1400|515|13888|Action, Adventure, Indie, RPG, Early Access|"{""Open World Survival Craft"":1391,""Survival"":1352,""Online Co-Op"":1308,""Open World"":1288,""Multiplayer"":1200,""Building"":1171,""Crafting"":1120,""Exploration"":1048,""Base-Building"":942,""Co-op"":895,""Sandbox"":825,""Adventure"":778,""Mythology"":754,""RPG"":673,""Early Access"":594,""Action"":550,""Indie"":477,""PvP"":444,""Singleplayer"":303,""Third Person"":258}"
20|1085660|Destiny 2|Bungie|Bungie|417545|80948|9783|1036|413|454|64121|Action, Adventure, Free to Play|"{""Free to Play"":2704,""Open World"":2511,""FPS"":2483,""Looter Shooter"":2482,""MMORPG"":2455,""PvP"":2445,""PvE"":2427,""Co-op"":2402,""Shooter"":2298,""First-Person"":2221,""Massively Multiplayer"":2208,""Sci-fi"":2202,""Loot"":2189,""Action"":2185,""Lore-Rich"":2160,""Space"":2138,""Multiplayer"":2132,""Adventure"":2131,""Competitive"":2096,""Atmospheric"":2042}"
21|218620|PAYDAY 2|OVERKILL - a Starbreeze Studio.|Starbreeze Publishing AB|530288|63037|7182|3124|639|415|35248|Action, RPG|"{""Co-op"":9611,""Action"":7422,""FPS"":7316,""Heist"":6870,""Looter Shooter"":6180,""Multiplayer"":6026,""Online Co-Op"":6018,""Stealth"":5964,""Crime"":5503,""Shooter"":4693,""Team-Based"":4239,""First-Person"":4183,""Great Soundtrack"":3974,""Gun Customization"":3608,""Tactical"":3312,""PvE"":2655,""Strategy"":2282,""Singleplayer"":2043,""Funny"":1554,""Simulation"":1546}"
22|431960|Wallpaper Engine|Wallpaper Engine Team|Wallpaper Engine Team|552431|10895|3734|106|870|13|91248|Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities|"{""Mature"":2436,""Utilities"":1896,""Software"":1523,""Anime"":1411,""Design & Illustration"":1147,""Animation & Modeling"":918,""Memes"":564,""Indie"":548,""Cute"":497,""NSFW"":457,""Action"":418,""Early Access"":416,""Funny"":416,""Singleplayer"":381,""Photo Editing"":282,""Sandbox"":268,""Game Development"":188,""Horror"":157,""First-Person"":91,""Gaming"":62}"
23|901583|Grand Theft Auto IV: Complete Edition|Rockstar North, Rockstar Toronto|Rockstar Games|88117|24822|0|0|0|0|0|Action, Adventure|"{""Open World"":2292,""Action"":1850,""Automobile Sim"":1302,""Multiplayer"":1165,""Crime"":1122,""Third Person"":1104,""Adventure"":1045,""Singleplayer"":837,""Third-Person Shooter"":820,""Sandbox"":798,""Moddable"":777,""Shooter"":720,""Physics"":613,""Atmospheric"":477,""Classic"":451,""Funny"":450,""Dark Humor"":429,""Gore"":411,""Co-op"":361,""Satire"":340}"
24|444090|Paladins|Evil Mojo Games|Hi-Rez Studios|283140|48129|2919|576|473|163|5990|Action, Adventure, Free to Play, Massively Multiplayer, Strategy|"{""Hero Shooter"":50327,""Free to Play"":5283,""Multiplayer"":3285,""FPS"":3161,""Shooter"":2768,""Action"":2231,""Team-Based"":2197,""First-Person"":1787,""PvP"":1743,""MOBA"":1652,""Online Co-Op"":1535,""Fantasy"":1211,""Controller"":1165,""Strategy"":1111,""Co-op"":1077,""Massively Multiplayer"":1066,""Character Customization"":1065,""Adventure"":1061,""Colorful"":1056,""Funny"":1042}"
25|1091500|Cyberpunk 2077|CD PROJEKT RED|CD PROJEKT RED|418734|129913|3630|700|2572|297|54861|RPG|"{""Cyberpunk"":5296,""Open World"":4570,""RPG"":3983,""Nudity"":3921,""Singleplayer"":3876,""Sci-fi"":3831,""Futuristic"":3819,""FPS"":3684,""First-Person"":3492,""Story Rich"":3430,""Mature"":3404,""Atmospheric"":3395,""Exploration"":3285,""Action"":2464,""Violent"":2165,""Great Soundtrack"":1948,""Action RPG"":1871,""Adventure"":1787,""Character Customization"":969,""Immersive Sim"":747}"
26|1240440|Halo Infinite|343 Industries|Xbox Game Studios|106426|43512|998|201|203|74|4279|Action, Free to Play|"{""Free to Play"":664,""FPS"":628,""Multiplayer"":593,""Action"":542,""Shooter"":536,""First-Person"":527,""Singleplayer"":507,""Sci-fi"":504,""Open World"":487,""Competitive"":440,""PvP"":434,""Co-op"":433,""Story Rich"":414,""Space"":407,""Adventure"":400,""Lore-Rich"":383,""Aliens"":382,""Atmospheric"":379,""Cinematic"":372,""Soundtrack"":365}"
27|1468810|\u9b3c\u8c37\u516b\u8352 Tale of Immortal|\u9b3c\u8c37\u5de5\u4f5c\u5ba4|\u9b3c\u8c37\u5de5\u4f5c\u5ba4, Lightning Games|106301|105038|2924|341|1672|301|10003|Action, Adventure, Indie, RPG, Simulation, Early Access|"{""Early Access"":2702,""Tactical RPG"":2456,""Management"":2445,""Singleplayer"":2361,""Simulation"":2305,""Mythology"":2305,""RPG"":2294,""Sandbox"":2288,""Choose Your Own Adventure"":2281,""Action"":2274,""2D"":2272,""Adventure"":2271,""Dating Sim"":2270,""Exploration"":2267,""Hand-drawn"":2250,""Story Rich"":2250,""Action RPG"":2247,""Action-Adventure"":2247,""Fantasy"":2244,""Strategy RPG"":2227}"
28|10|Counter-Strike|Valve|Valve|200666|5162|8946|312|187|106|11927|Action|"{""Action"":5426,""FPS"":4830,""Multiplayer"":3390,""Shooter"":3352,""Classic"":2783,""Team-Based"":1863,""First-Person"":1707,""Competitive"":1606,""Tactical"":1344,""e-sports"":1192,""1990's"":1191,""PvP"":880,""Old School"":769,""Military"":631,""Strategy"":614,""Survival"":304,""Score Attack"":289,""1980s"":265,""Assassin"":227,""Nostalgia"":130}"
29|291480|Warface|MY.GAMES|MY.GAMES|53380|25657|1150|1488|110|2933|1770|Action, Adventure, Free to Play, Massively Multiplayer, RPG, Simulation, Strategy|"{""Free to Play"":3853,""Realistic"":1991,""FPS"":1951,""Multiplayer"":1836,""Shooter"":1676,""Action"":1672,""PvP"":1312,""Co-op"":1305,""Gun Customization"":1245,""Character Customization"":1225,""First-Person"":1135,""Tactical"":1022,""Online Co-Op"":1017,""Strategy"":1010,""Massively Multiplayer"":965,""Military"":957,""Team-Based"":955,""Moddable"":948,""Class-Based"":947,""Adventure"":947}"
30|272060|Serena|Senscape|Senscape|4871|1434|119|0|1|0|8|Adventure, Indie|"{""Horror"":5220,""Free to Play"":252,""Indie"":205,""Point & Click"":190,""Psychological Horror"":148,""Adventure"":132,""Story Rich"":129,""Dark"":122,""Short"":112,""First-Person"":96,""Mystery"":92,""Atmospheric"":90,""Multiplayer"":71,""Singleplayer"":67,""Puzzle"":29,""Walking Simulator"":20,""Co-op"":19,""Hidden Object"":15,""Exploration"":5,""Romance"":5}"
31|49520|Borderlands 2|Gearbox Software, Aspyr (Mac), Aspyr (Linux)|2K, Aspyr (Mac), Aspyr (Linux)|249988|16734|2982|184|920|143|2700|Action, RPG|"{""Loot"":9606,""Shooter"":9114,""Action"":9064,""Multiplayer"":7492,""Co-op"":7351,""Looter Shooter"":7034,""FPS"":6793,""RPG"":5477,""First-Person"":5355,""Funny"":5025,""Comedy"":4806,""Open World"":3442,""Combat"":2938,""Online Co-Op"":2070,""Adventure"":1994,""Action RPG"":1745,""Dark Humor"":1668,""Memes"":1329,""Singleplayer"":1325,""Sci-fi"":1289}"
32|438100|VRChat|VRChat Inc.|VRChat Inc.|126921|55525|3435|1041|94|325|19033|Adventure, Casual, Free to Play, Massively Multiplayer, Simulation, Sports, Early Access|"{""VR"":1586,""Free to Play"":1546,""Memes"":1118,""Anime"":1087,""Multiplayer"":1076,""Funny"":1021,""Massively Multiplayer"":919,""Early Access"":665,""First-Person"":662,""Open World"":609,""Simulation"":591,""Casual"":550,""Adventure"":449,""MMORPG"":249,""Comedy"":205,""Hentai"":194,""NSFW"":161,""Sandbox"":145,""Mature"":122,""Action"":117}"
33|292030|The Witcher 3: Wild Hunt|CD PROJEKT RED|CD PROJEKT RED|629331|25208|3808|529|1135|393|13280|RPG|"{""Open World"":11637,""RPG"":9991,""Story Rich"":9193,""Atmospheric"":6462,""Mature"":6201,""Fantasy"":6040,""Adventure"":5937,""Singleplayer"":5656,""Choices Matter"":5293,""Nudity"":5223,""Great Soundtrack"":4433,""Third Person"":4341,""Medieval"":4121,""Action"":4083,""Multiple Endings"":3643,""Action RPG"":3560,""Magic"":3414,""Dark Fantasy"":3409,""Dark"":2041,""Sandbox"":1193}"
34|227940|Heroes & Generals|TLM Partners|TLM Partners|94004|46589|1366|644|86|724|2364|Action, Free to Play, Indie, Massively Multiplayer, Strategy|"{""Free to Play"":6158,""World War II"":3397,""FPS"":3301,""Multiplayer"":3291,""War"":2869,""Shooter"":2647,""Action"":2390,""First-Person"":1810,""Massively Multiplayer"":1667,""Strategy"":1223,""Tactical"":1186,""Co-op"":1155,""Historical"":1084,""Open World"":996,""Simulation"":720,""Atmospheric"":633,""Adventure"":586,""Indie"":523,""Early Access"":452,""RTS"":358}"
35|381210|Dead by Daylight|Behaviour Interactive Inc.|Behaviour Interactive Inc.|505924|115678|9885|512|1349|188|66037|Action|"{""Horror"":39839,""Survival Horror"":9141,""Multiplayer"":9012,""Online Co-Op"":6912,""Survival"":6621,""Co-op"":6619,""Gore"":6570,""Blood"":6523,""Team-Based"":6517,""Stealth"":6514,""Third Person"":6502,""Violent"":6481,""First-Person"":6468,""Psychological Horror"":6447,""Action"":6413,""Atmospheric"":6389,""Strategy"":2051,""Comedy"":1954,""Mature"":1762,""Difficult"":1458}"
36|413150|Stardew Valley|ConcernedApe|ConcernedApe|493770|9221|3927|380|1470|119|22669|Indie, RPG, Simulation|"{""Farming Sim"":5759,""Life Sim"":5570,""Pixel Graphics"":5430,""RPG"":5249,""Multiplayer"":5009,""Relaxing"":4597,""Agriculture"":4429,""Simulation"":4387,""Crafting"":3618,""Sandbox"":3376,""Indie"":3100,""Building"":2885,""Singleplayer"":2626,""Casual"":2534,""Open World"":2453,""2D"":2234,""Great Soundtrack"":2074,""Cute"":2069,""Dating Sim"":1892,""Fishing"":1735}"
37|242760|The Forest|Endnight Games Ltd|Endnight Games Ltd|386905|19353|1559|217|878|145|5577|Action, Adventure, Indie, Simulation|"{""Open World Survival Craft"":11617,""Survival"":11253,""Open World"":8091,""Horror"":7620,""Crafting"":6048,""Adventure"":5213,""Building"":5086,""Survival Horror"":4647,""First-Person"":4215,""Action"":3516,""Exploration"":3301,""Sandbox"":3107,""Atmospheric"":2582,""Singleplayer"":2507,""Simulation"":2443,""Gore"":2177,""Realistic"":2171,""Indie"":2162,""Early Access"":1610,""Zombies"":1518}"
38|346110|ARK: Survival Evolved|Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC|Studio Wildcard|477629|100989|11727|1042|952|586|48127|Action, Adventure, Indie, Massively Multiplayer, RPG|"{""Open World Survival Craft"":12285,""Survival"":11571,""Open World"":9003,""Multiplayer"":8932,""Dinosaurs"":8511,""Crafting"":7466,""Building"":7106,""Adventure"":6298,""Base-Building"":5623,""Co-op"":5146,""Action"":4701,""First-Person"":4284,""Sandbox"":4225,""Massively Multiplayer"":4072,""Singleplayer"":3788,""Early Access"":3465,""RPG"":3082,""Dragons"":3052,""Sci-fi"":2483,""Indie"":2050}"
39|227300|Euro Truck Simulator 2|SCS Software|SCS Software|566628|15522|6742|273|1880|105|33524|Indie, Simulation|"{""Driving"":12036,""Transportation"":12030,""Simulation"":11974,""Open World"":11933,""Automobile Sim"":11922,""Realistic"":11884,""Moddable"":11830,""Relaxing"":11821,""Immersive Sim"":11775,""Exploration"":11757,""Economy"":11750,""Management"":11733,""Atmospheric"":11719,""Multiplayer"":3963,""Controller"":3730,""Third Person"":3715,""Family Friendly"":3714,""Casual"":3649,""Adventure"":3644,""Indie"":3637}"
40|252950|Rocket League|Psyonix LLC|Psyonix LLC|495942|62963|14268|402|2953|197|28598|Action, Indie, Racing, Sports|"{""Multiplayer"":6544,""Soccer"":5101,""Competitive"":4530,""Sports"":3975,""Racing"":3869,""Team-Based"":3381,""Online Co-Op"":2836,""Football"":2304,""Fast-Paced"":2181,""Co-op"":2123,""Action"":1919,""Funny"":1881,""Great Soundtrack"":1657,""Local Multiplayer"":1604,""Split Screen"":1476,""Local Co-Op"":1339,""Singleplayer"":1224,""4 Player Local"":1200,""Casual"":1190,""Indie"":878}"
41|320|Half-Life 2: Deathmatch|Valve|Valve|9900|1068|529|0|29|0|176|Action|"{""Action"":867,""FPS"":482,""Multiplayer"":408,""Shooter"":259,""First-Person"":242,""Sci-fi"":182,""Physics"":178,""Competitive"":140,""Funny"":106,""Co-op"":94,""Old School"":87,""PvP"":64,""Arena Shooter"":48,""Moddable"":41,""Atmospheric"":40,""Adventure"":31,""Great Soundtrack"":23,""Singleplayer"":18,""Online Co-Op"":10,""Mod"":10}"
42|620|Portal 2|Valve|Valve|304149|3727|1108|50|532|42|1602|Action, Adventure|"{""Platformer"":7203,""Puzzle"":6858,""Dark Humor"":6773,""First-Person"":6732,""Puzzle-Platformer"":6710,""Story Rich"":6704,""Funny"":6627,""Female Protagonist"":6596,""3D Platformer"":6571,""Action-Adventure"":6491,""Action"":6452,""FPS"":6437,""Co-op"":5170,""Physics"":4836,""Level Editor"":4690,""Sci-fi"":4670,""Science"":4601,""Comedy"":4578,""Atmospheric"":4577,""Adventure"":4545}"
43|552990|World of Warships|Wargaming Group Limited|Wargaming Group Limited|87888|21177|3683|1141|181|1689|8968|Action, Free to Play, Massively Multiplayer, Simulation|"{""Naval Combat"":66993,""Free to Play"":51711,""Naval"":48745,""World War II"":47253,""Massively Multiplayer"":46641,""Action"":44689,""Multiplayer"":40969,""Tactical"":40782,""PvP"":40487,""Historical"":40288,""Military"":32963,""Online Co-Op"":31755,""Team-Based"":31424,""Realistic"":31069,""Simulation"":30746,""Shooter"":30697,""PvE"":30377,""Third-Person Shooter"":30127,""War"":25488,""Co-op"":18755}"
44|755790|Ring of Elysium|Aurora Studio|TCH Scarlet Limited|74502|25750|1467|483|98|483|345|Action, Free to Play, Massively Multiplayer|"{""Free to Play"":1676,""Battle Royale"":1361,""Shooter"":1060,""Multiplayer"":1033,""Survival"":848,""FPS"":711,""Action"":682,""Massively Multiplayer"":663,""Third-Person Shooter"":620,""Early Access"":582,""Singleplayer"":511,""PvP"":499,""Open World"":497,""Co-op"":496,""3D"":490,""Tactical"":486,""Violent"":483,""Gore"":476,""MOBA"":469,""First-Person"":369}"
45|301520|Robocraft|Freejam|Freejam|86134|32440|1321|0|161|0|235|Action, Free to Play, Indie, Massively Multiplayer, RPG, Simulation|"{""Free to Play"":3962,""Robots"":2503,""Building"":2387,""Multiplayer"":2328,""Action"":1679,""Shooter"":1582,""PvP"":1467,""Massively Multiplayer"":1310,""Sandbox"":1274,""Crafting"":1224,""Third-Person Shooter"":1005,""Sci-fi"":887,""Strategy"":823,""Simulation"":754,""Early Access"":631,""Indie"":609,""Open World"":564,""Funny"":514,""Adventure"":449,""RPG"":428}"
46|386360|SMITE|Titan Forge Games|Hi-Rez Studios|82817|20832|6590|691|243|531|12181|Action, Free to Play|"{""Free to Play"":2405,""MOBA"":1354,""Multiplayer"":1079,""Action"":887,""Third Person"":865,""Mythology"":787,""Team-Based"":608,""Competitive"":565,""PvP"":530,""Co-op"":516,""Strategy"":516,""Massively Multiplayer"":375,""e-sports"":343,""RPG"":289,""Adventure"":256,""MMORPG"":226,""Funny"":209,""Nudity"":189,""Casual"":186,""Survival"":180}"
47|322330|Don't Starve Together|Klei Entertainment|Klei Entertainment|337254|13754|2215|304|574|78|17898|Adventure, Indie, Simulation|"{""Exploration"":40803,""Open World Survival Craft"":40726,""Survival"":40717,""Sandbox"":40661,""Rogue-lite"":40661,""Crafting"":40658,""Multiplayer"":9858,""Difficult"":9766,""Open World"":9748,""2D"":9740,""Adventure"":9719,""Strategy"":9719,""Atmospheric"":9710,""Horror"":9707,""Funny"":9705,""Action"":9702,""Survival Horror"":9700,""Simulation"":9688,""Online Co-Op"":7794,""PvP"":7723}"
48|550650|Black Squad|VALOFE, NS STUDIO|VALOFE|60493|18809|1507|3|63|5|779|Action, Free to Play|"{""Free to Play"":2653,""FPS"":1899,""Shooter"":1708,""Multiplayer"":1693,""Action"":1189,""Early Access"":951,""First-Person"":828,""Military"":787,""PvP"":698,""Singleplayer"":651,""Co-op"":641,""War"":557,""Massively Multiplayer"":545,""Tactical"":539,""Team-Based"":509,""Violent"":405,""Open World"":352,""Strategy"":345,""Gore"":317,""Adventure"":253}"
49|477160|Human: Fall Flat|No Brakes Games|Curve Games|161455|9125|754|57|374|59|3069|Adventure, Casual, Indie, Simulation|"{""Co-op"":1910,""Funny"":1866,""Puzzle"":1854,""Adventure"":1847,""Physics"":1835,""Action"":1810,""Sandbox"":1809,""Puzzle-Platformer"":1794,""Open World"":1785,""Multiplayer"":1561,""Indie"":638,""Local Co-Op"":634,""Comedy"":559,""Parkour"":523,""Local Multiplayer"":518,""Casual"":378,""Singleplayer"":317,""3D Platformer"":315,""Split Screen"":313,""Simulation"":250}"
